Name,GUID,StatusOfReport
Fig. 2.pdf,51e803ff-239d-4261-8442-cedcb9291552,Final report
report.doc,18ee440f-b94a-4522-a2dd-c31c4707e9c6,Final report
Table 1-3.XLS,6420834b-ecb5-4847-b14b-444b79b78250,Final report
101-CAT BA-1X_TIMELOG_04-14hr 05 Aug 2011.pdf,440b425b-2c0b-41d6-8d77-f592b7570370,Final report
SEVN_101-CB-1X_04-08-11_AM_Drll Chart.pdf,c5a1f546-c696-47aa-9bb2-847a48b79a0c,Final report
SEVN_101-CB-1X_Geoservices Aft Rpt_05-08-2011.XLS,989ddfae-2f12-437c-8117-48cb8fc616a9,Final report
SEVN_101-CB-1X_Geoservices Mor Rpt_05-08-2011.XLS,c2ae6e09-6916-4759-ae64-f358e4f78275,Final report
SEVN_101-CB-1X_17.5_06-08-11_14h Drll Chart.pdf,f22eacbb-e6c0-4ebb-a5f7-007f79fadcef,
SEVN_101-CB-1X_Geoservices Aft Rpt_06-08-2011.XLS,822a9e29-e874-4d14-a635-0975966dc347,
2004 Block 2004 _Seismic data interpretation report full.pdf,87837834-2d49-46bf-aa16-766bb40c7906,Final report
1991_Blocks 102 & 106 Evaluation Report_Total.pdf,adb64dbd-be0c-440b-8cb7-96e25ad58127,Final report Approved
2005_Petronas 102_106_Tectonic study of Ha Long Yen Tu area.pdf,1e1d59af-f6c7-4c66-a433-7153ea20df38,Final report Approved
2006_Block 102-106_ Sequence Stratigrapy .pdf,8b471437-03a4-4d87-88ab-8bb5221d950d,Final report Approved
2008_Block 102-106 Commitee meeting.pdf,31ad2e8f-0258-4a01-9600-9c0e0f0c06c2,Final report Approved
1995 Block 102 Final evaluation report.pdf,da8d13d9-2913-4fb9-95a2-579d74098018,Final report Approved
2008_102-106 Committee Meeting_Petronas.pdf,5d2dbcae-b35b-4194-9a1b-6fa6aa15bb0d,
2008_Block 102-106_Sequence straigraphy updated.pdf,adfb0688-0aa7-4c70-85e1-ff9e12cbb13d,Final report
2007_Block 102_3D Reservoir Thai_Binh-Hong_Ha_SEISMIC INVERSION.pdf,c7678fad-a1b4-4636-9e01-2337409b4914,Final report Approved
2009 DANH GIA TIEM NANG DAU KHI HR & BLV.doc,62cfc628-6256-456f-8551-bc19a3dce487,Final report
2011_ Báo cáo đầu tư TKTD dầu khí lô  102&106_PVEP.docx,ed6430ee-f95e-4264-a773-04a10a50b6fb,Final report
2011_BLOCKS102-106 THAIBINH OUTLINE DEVELOPMENT PLAN (ODP) REV0.pdf,bc8f6fa0-5962-4ba8-bc04-486f3a5cd2b9,Final report
2015_Block 102-106 Basin Modeling Report PVEP.pdf,6c9f2241-0a58-40a1-af70-5aad60735369,Final report
2014_Block_102_106_Evaluation_JX.pptx,bbb16f7a-8e3b-40ac-8707-3d3d5fa3878f,Final report
2015_Geophysical and geological characterisc of Pre-Tertiary Carbonate Basement_PVEP_ITC.pdf,5e1ec6ca-ae41-4f8d-bb72-17936de58cec,Final report
2016_PSC 102- 106 Technique workshop .ppt,576f1ff5-d23b-45f6-be99-abe5f3a31760,Final report
2018_Block 102-106 Evaluation report.docx,c6972f63-49bb-410e-b244-7ab63a76b4e5,Final report
Fig_horizontal for Son.ppt,09843367-60a1-4e06-a868-87666f578a16,Final report
Report Fault Seal 102-106 22 Nov edit 5 Dec 2013.docx,e7142bac-dc0a-4782-ba38-b57275a5caf1,
Text_updated.doc,7ee0a323-1830-4f0a-b088-9c6f0ba6ada9,Final report
Enclosure_1pp.ppt,548a6ce6-ffa3-47cd-a7fa-d29bb574d34c,Final report
Enclosure_4.ppt,fd73483a-4bc3-45f4-9550-b57e6424dfc0,Final report
Final presentation Fault seal 102-106_22 Nov edit 5 Dec.2013.pptx,11e53f2c-6315-4b75-84e7-012a3c3393ce,
Enclosure_5.ppt,1cf89f3b-81de-492d-b2e7-ddb1ece65212,Final report
modelpp.ppt,1af5dcbe-6503-42cf-918d-324bedfa554f,Final report
